,Year,Location Short,Location,Data Value 1,Data Value 2,Low Confidence Limit,High Confidence Limit,Lat and Long,Location ID,Category
37832,2016,PA,Pennsylvania,4.2,4.2,3.9,4.5,"(40.79373015200048, -77.86070029399963)",42,OVERALL
37833,2016,RI,Rhode Island,4.2,4.2,3.8,4.5,"(41.70828019300046, -71.52247031399963)",44,OVERALL
37834,2016,SC,South Carolina,4.3,4.3,4.0,4.5,"(33.998821303000454, -81.04537120699968)",45,OVERALL
37835,2016,SD,South Dakota,2.8,2.8,2.5,3.1,"(44.353130053000484, -100.3735306369997)",46,OVERALL
37836,2016,TN,Tennessee,4.4,4.4,4.0,4.7,"(35.68094058000048, -85.77449091399967)",47,OVERALL
37837,2016,TX,Texas,3.4,3.4,3.1,3.7,"(31.827240407000488, -99.42677020599967)",48,OVERALL
37838,2016,UT,Utah,3.7,3.7,3.5,4.0,"(39.360700171000474, -111.58713063499971)",49,OVERALL
37839,2016,VT,Vermont,3.9,3.9,3.6,4.2,"(43.62538123900049, -72.51764079099962)",50,OVERALL
37840,2016,VA,Virginia,3.4,3.4,3.2,3.6,"(37.54268067400045, -78.45789046299967)",51,OVERALL
37841,2016,WA,Washington,3.7,3.7,3.6,3.9,"(47.52227862900048, -120.47001078999972)",53,OVERALL
37842,2016,WV,West Virginia,5.0,5.0,4.8,5.3,"(38.66551020200046, -80.71264013499967)",54,OVERALL
37843,2016,WI,Wisconsin,3.7,3.7,3.4,4.0,"(44.39319117400049, -89.81637074199966)",55,OVERALL
37844,2016,WY,Wyoming,3.6,3.6,3.2,4.0,"(43.23554134300048, -108.10983035299967)",56,OVERALL
37845,2016,VI,Virgin Islands,2.8,2.8,2.2,3.4,"(18.335765, -64.896335)",78,OVERALL
37846,2016,US,United States,3.8,3.8,3.6,4.2,,59,OVERALL
37847,2016,AL,Alabama,4.6,4.6,4.3,4.8,"(32.84057112200048, -86.63186076199969)",1,OVERALL
37848,2016,AK,Alaska,3.4,3.4,3.0,3.9,"(64.84507995700051, -147.72205903599973)",2,OVERALL
37849,2016,AZ,Arizona,3.9,3.9,3.6,4.2,"(34.865970280000454, -111.76381127699972)",4,OVERALL
37850,2016,AR,Arkansas,5.2,5.2,4.7,5.7,"(34.74865012400045, -92.27449074299966)",5,OVERALL
